Response ID,Gender,Sex_Ori,Age,Race, Hisp_Lat,Year,Major,LivCamp,LivWith,Vig_Day,Vig_Time,Mod_Day,Mod_Time,Walk_Day,Walk_Time,Sit_Time,Priming,Lone_1,Lone_2,Lone_3,Lone_4,Lone_5,Lone_6,Lone_7,Lone_8,Lone_9,Lone_10,Lone_11,Lone_12,Lone_13,Lone_14,Lone_15,Lone_16,Attention,Lone_17,Lone_18,Lone_19,Lone_20
R_2CP9COWkplyyJjN,2,1,20,1,1,3,2,2,3,5,60,4,45,8,120,240,1,3,2,2,2,2,1,2,1,2,1,2,2,2,3,2,2,1,1,2,2,1
R_3m1yeCyAyQTCUVM,2,1,22,1,1,4,2,2,2,1,0,4,15,4,40,600,0,2,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4
R_6QXhojGdUFskBGN,2,1,19,2,1,2,2,2,1,4,30,6,10,8,40,400,0,2,4,4,2,2,4,4,4,4,2,3,4,4,4,4,2,1,2,4,2,3
R_31yHHhB6Qu6a4fJ,2,1,18,2,1,1,2,2,2,3,60,1,0,8,60,480,0,4,3,4,4,3,1,4,4,3,2,3,4,4,2,3,4,1,4,3,4,3
R_1qea4sfDb7MvzrZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2fDk0fdd4zaeerB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_sF4ZdZOOLgujMnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2EbGLohQWdzlPDd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1ILxl6ApjTCEs2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1rxHXWvqxAy0a8u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pms2g2nhIB7tDy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2uWgltg4gJBa9el,1,1,21,5,1,3,5,2,2,5,120,2,120,3,60,460,1,,,,,,,,,,,,,,,,,,,,,
R_1It5OVxd0aMA9ZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iVxLhx14ujjvJ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_YQXQNNAYXXdKkP7,2,1,21,1,1,4,1,2,2,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Ca2XDo0WhE3qhH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2fqEbcfGxE42PGG,1,1,18,2,1,1,1,2,1,3,50,1,,2,60,840,,3,2,4,2,2,2,4,3,4,4,4,4,3,4,1,3,2,4,2,4,3
R_sp3hjOcexESDZ8B,2,1,22,1,1,4,2,2,1,5,15,1,,4,20,780,1,3,3,4,2,2,3,4,4,2,4,4,4,4,4,4,3,1,4,4,4,2
R_1mReWrtjjN5LFyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1YwMlabny5EDOkF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3NCAFD9IglF09w0,2,1,21,3,1,4,2,2,1,4,100,1,,2,120,480,,2,1,2,1,1,2,3,3,2,1,3,4,4,4,1,2,3,3,2,1,4
R_1CdntS54RXW1QrY,4,2,25,1,1,4,2,2,2,1,,2,15,2,20,900,1,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2
R_1rPpeg76qgLDCBD,1,1,22,1,1,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
